tower_number,listings,sell_through,avg_price,ppsf
1,476,0.7331932773109243,277489.98048319324,301.60501544175844
2,551,0.8003629764065335,284851.504337568,304.62119787324326
3,574,0.7299651567944251,295552.9392682927,303.4020447959981
4,485,0.6989690721649484,302212.06455670105,301.33631492422586
5,502,0.6972111553784861,285912.4967729084,301.3253224992083
6,476,0.7352941176470589,399644.3699369748,303.50896746570277
7,520,0.7442307692307693,323329.13938461535,299.8190795169651
8,502,0.6852589641434262,381613.39699203183,301.54146855505303
9,537,0.7281191806331471,367217.0940037244,302.23637778556906
10,432,0.7523148148148148,403266.5211574074,302.97837452479286
11,563,0.7104795737122558,358387.2086145648,301.1190708959581
12,416,0.7331730769230769,397119.9737259615,301.9747236281298
13,606,0.7095709570957096,361724.4079042904,301.2593186160725
14,476,0.7689075630252101,334226.6657773109,303.19600901538575
15,520,0.7096153846153846,343700.07334615383,303.18959559720906
16,390,0.7589743589743589,323077.9377948718,302.61717464509724
17,450,0.7311111111111112,384755.0666444445,302.627946897071
18,589,0.7266553480475382,360460.46441426146,301.05400786447905
19,433,0.74364896073903,360530.3003233256,301.85732877635024
20,502,0.7270916334661355,362680.70089641435,301.96122073983975
