client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,age_band,n_units,total_spend,avg_price,avg_ppsf,avg_area,share_office,n_towers,first_purchase,last_purchase,active_months,region_group,is_usa,portfolio_buyer,investment_flag,loan_flag,segment_id,segment_name,segment_label,ward_segment_id,ward_agrees,silhouette,pc1,pc2,client_type_code,acquisition_purpose_code,loan_applied_code,referral_channel_code,country_code,region_code,gender_code,lat,lon,iso3
C0001,Individual,Female,USA,California,Personal Use,4,Yes,Website,57.63997262149213,55-64,4,1246764.72,311691.18,319.96317185861204,983.885,0.0,4,2024-10-01,2025-12-01,14.0,California,1,0,0,1,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,S4,1,0.2879542851694998,-0.6983741783289613,-0.02347849180969208,1,1,1,2,9,8,0,36.78,-119.42,USA
C0002,Individual,Male,USA,California,Personal Use,1,No,Website,63.096509240246405,55-64,5,1841095.9300000002,368219.18600000005,313.1679087042186,1187.942,0.0,5,2024-01-01,2025-12-01,23.0,California,1,1,0,0,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,S1,1,0.26633773367383135,0.6783132879885356,0.06111502186702933,1,1,0,2,9,8,1,36.78,-119.42,USA
C0003,Individual,Male,USA,California,Personal Use,4,Yes,Agency,66.73511293634498,65+,5,1661457.5899999999,332291.518,310.797967102675,1058.1100000000001,0.0,5,2024-07-01,2025-10-01,15.0,California,1,1,0,1,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,S4,1,0.24851640254835258,-0.7127011824081614,-1.0388346943062183,1,1,1,0,9,8,1,36.78,-119.42,USA
C0004,Individual,Male,USA,California,Personal Use,5,No,Website,66.09993155373031,65+,6,1608263.51,268043.91833333333,275.5640860802061,937.1033333333334,0.0,5,2024-02-01,2025-08-01,18.0,California,1,1,0,0,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,S1,1,0.2637698782542058,0.6783809305161423,0.06128591441783027,1,1,0,2,9,8,1,36.78,-119.42,USA
C0005,Corporate,Male,USA,California,Investment,5,No,Website,49.83983572895277,45-54,13,3653385.38,281029.64461538463,299.39886333356816,927.2961538461539,0.0,5,2024-02-01,2025-05-01,14.9,California,1,1,1,0,S2,Domestic Investors,S2 - Domestic Investors,S1,0,0.08984819084726677,0.36752707369957976,-0.02395321149258678,0,0,0,2,9,8,1,36.78,-119.42,USA
C0006,Individual,Male,USA,California,Personal Use,3,Yes,Website,68.82135523613962,65+,5,1514131.06,302826.212,301.81143627425695,989.5899999999999,0.0,5,2024-01-01,2025-11-01,22.0,California,1,1,0,1,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,S4,1,0.28601110699768634,-0.6953002017546017,-0.02562414966943194,1,1,1,2,9,8,1,36.78,-119.42,USA
C0007,Individual,Male,Canada,Quebec,Investment,5,No,Website,78.60643394934976,65+,11,3251147.83,295558.8936363636,296.0091174822707,995.6936363636363,0.0,6,2024-01-01,2025-12-01,23.0,International,0,1,1,0,S3,International Buyers,S3 - International Buyers,S3,1,0.08673678047726707,0.18698697621235555,1.200254828484177,1,0,0,2,2,40,1,52.94,-73.55,CAN
C0008,Individual,Female,USA,California,Personal Use,5,No,Website,56.205338809034906,55-64,5,1476730.4100000001,295346.08200000005,289.273363570013,1031.106,0.2,5,2024-03-01,2025-03-01,12.0,California,1,1,0,0,S1,Domestic Cash Home Buyers,S1 - Domestic Cash Home Buyers,S1,1,0.27554214793739806,0.6754312546345709,0.06218493005735204,1,1,0,2,9,8,0,36.78,-119.42,USA
C0009,Individual,Male,USA,California,Investment,5,No,Agency,50.23956194387406,45-54,5,1820832.35,364166.47000000003,274.38568336203406,1305.644,0.2,4,2024-12-01,2025-05-01,5.0,California,1,1,1,0,S2,Domestic Investors,S2 - Domestic Investors,S2,1,0.14485519372158143,0.37243755651441296,-1.023379263639354,1,0,0,0,9,8,1,36.78,-119.42,USA
C0010,Individual,Male,USA,Oregon,Investment,3,No,Agency,59.540041067761805,55-64,5,1732434.0,346486.8,309.13580924027326,1140.206,0.2,4,2024-03-01,2025-09-01,18.0,Oregon,1,1,1,0,S2,Domestic Investors,S2 - Domestic Investors,S2,1,0.1367337702664894,0.3045239861342464,-0.7536164362994493,1,0,0,0,9,37,1,43.8,-120.55,USA
C0011,Individual,Female,USA,California,Personal Use,2,Yes,Website,69.53867214236824,65+,5,1325211.52,265042.304,282.7741404393233,935.914,0.2,5,2024-11-01,2025-09-01,10.0,California,1,1,0,1,S4,Domestic Financed Home Buyers,S4 - Domestic Financed Home Buyers,S4,1,0.27797272918036847,-0.6956524823500063,-0.02702063458129267,1,1,1,2,9,8,0,36.78,-119.42,USA
C0012,Corporate,Male,USA,California,Investment,5,No,Website,50.68583162217659,45-54,4,1599526.4,399881.6,299.78630561500273,1317.445,0.0,4,2024-10-01,2025-03-01,5.0,California,1,0,1,0,S2,Domestic Investors,S2 - Domestic Investors,S1,0,0.10281943876227849,0.3664014637432212,-0.01839209168119882,0,0,0,2,9,8,1,36.78,-119.42,USA
